"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"375",0.759,0,4,2,243.246,1979,253.12608,-10.744,98.679,2,6
"376",2.241,0,7,7,220.555,2010,224.41751,-3.487,143.837,23,14
"377",0.908,1,1,7,314.63,1998,317.12608,-6.748,95.138,23,14
"378",0,0,4,0,237.587,1999,240.19546,-2.267,112.961,3,14
"379",0.392,1,4,4,196.603,1996,208.32608,-7.852,95.738,12,4
"380",3.373,1,4,4,201.932,2007,211.80036,-10.447,201.792,2,9
"381",0,1,3,2,237.65,2005,251.16689,-10.512,153.396,12,4
"382",0.131,1,1,2,199.094,2005,208.5873,-8.226,109.287,14,13
"383",2.56,0,4,6,126.229,1996,131.81342,-11.011,87.653,22,2
"384",0.189,1,4,9,212.474,1992,215.82322,-9.767,133.624,12,14
"385",3.907,1,4,9,255.28,1995,263.81016,-7.06,141.22,2,6
"386",1.007,1,1,1,162.737,0,171.2322,-3.326,181.747,5,11
"387",0.438,1,3,8,208.086,2006,214.88281,-4.504,109.45,12,14
"388",2.032,1,3,7,140.858,1995,148.40118,-9.38,91.637,8,2
"389",0,1,7,10,10.344,1993,10.34404,-32.742,61.878,9,9
"390",0.194,1,4,2,234.707,2005,241.37098,-5.199,156.523,5,14
"391",0.403,0,4,11,323.396,0,342.83057,-12.896,107.542,18,14
"392",2.554,1,4,1,179.008,2006,187.03628,-4.183,170.046,17,14
"393",0,1,1,0,130.444,1996,135.49669,-11.575,201.953,1,12
"394",0.603,1,4,0,246.718,0,260.75383,-7.329,121.147,13,14
"395",0,0,4,8,228.635,1986,235.41506,-11.761,116.195,14,3
"396",0.38,1,4,2,141.375,1996,154.85342,-3.865,122.125,20,14
"397",2.212,0,4,4,240.849,2003,255.65995,-12.924,85.949,0,9
"398",0,1,4,9,144.004,2008,147.48689,-5.072,120.697,8,12
"399",0.345,1,4,2,187.699,2003,200.33261,-4.522,141.741,8,14
"400",0.345,0,4,4,219.086,0,232.98567,-4.297,166.057,15,14
"401",0.218,1,3,4,148.898,2003,162.37669,-11.528,69.222,21,2
"402",2.351,0,4,6,284.648,2001,293.66812,-5.21,85.141,12,14
"403",1.1,1,4,10,212.886,0,221.88363,-9.612,118.096,8,2
"404",0,0,5,4,179.095,1992,179.09506,-5.439,110.791,8,10
"405",0.293,1,4,2,236.199,1993,250.8273,-14.748,122.428,10,14
"406",3.28,1,1,11,211.54,0,217.23383,-11.719,148.358,17,14
"407",0.144,0,3,7,170.04,2006,183.64036,-12.055,123.278,2,6
"408",3.053,1,4,1,194.508,2007,203.78077,-3.092,132.021,8,9
"409",0,1,4,7,241.29,1976,260.62322,-12.502,142.857,5,14
"410",0,0,7,9,324.493,2005,329.7171,-9.458,126.947,1,14
"411",3.419,1,4,9,268.945,2009,284.1073,-5.519,107.998,8,1
"412",2.595,1,4,6,187.428,0,187.42812,-8.821,88.878,24,11
"413",0.361,1,1,1,85.269,1980,88.89424,-7.545,156.605,17,10
"414",0.073,1,4,1,138.797,2004,141.13914,-4.526,144.955,7,14
"415",0.15,1,4,1,167.538,2009,174.75873,-3.373,156.924,23,7
"416",0.177,0,4,6,211.565,2001,211.56526,-1.81,104.796,7,13
"417",0.183,1,4,5,251.826,2007,261.17179,-6.182,92.186,8,14
"418",0.57,1,1,0,114.619,1962,124.52526,-18.57,163.942,8,2
"419",0.229,1,4,2,233.221,1988,245.10649,-9.623,131.04,10,14
"420",0.479,1,4,7,266.652,0,278.7522,-9.399,160.976,1,5
"421",0.171,0,4,7,269.108,2001,282.61832,-3.834,69.737,24,14
"422",0,1,4,0,185.835,1992,185.83465,-7.184,94.146,24,11
"423",0.157,1,4,9,247.797,1989,247.7971,-15.059,100.788,22,11
"424",3.582,0,3,6,338.274,1984,345.67791,-12.23,99.978,20,13
"425",0.206,0,4,6,491.119,2000,506.27873,-11.59,136.003,18,3
"426",0,1,4,7,134.995,2002,143.882,-5.983,166.03,12,7
"427",0,0,4,7,209.548,2009,221.6224,-5.176,118.956,8,14
"428",2.728,1,4,11,329.63,2001,335.17669,-9.322,111.016,15,9
"429",0,1,1,7,285.478,2005,295.07873,-7.272,137.806,16,9
"430",0,1,4,7,274.651,1999,274.65098,-4.203,173.983,16,14
"431",0,1,1,5,32.418,1999,32.41751,-14.434,118.237,14,13
"432",0,1,4,9,255.46,1991,263.94077,-17.855,140.696,0,9
"433",2.815,0,4,2,249.469,1999,249.46893,-5.547,100.341,4,3
"434",0.376,1,1,1,122.079,1994,129.48853,-11.504,146.275,2,14
"435",0.166,1,4,1,261.387,1996,274.57261,-7.722,120.047,8,9
"436",0,0,4,9,223.921,1988,223.92118,-7.457,126.16,14,1
"437",0.345,1,4,9,274.286,2005,279.71873,-5.071,147.998,21,14
"438",0,0,1,6,163.811,1998,175.25506,-2.255,110.134,5,10
"439",0,1,4,11,181.289,2007,181.28934,-4.186,105.393,20,11
"440",3.698,1,4,8,207.946,1987,225.4624,-12.585,128.171,8,9
"441",0,0,4,6,205.74,1993,216.65914,-12.274,102.176,24,11
"442",0,0,3,6,380.421,2003,380.42077,-3.183,158.34,8,14
"443",0,1,4,11,236.298,1994,245.7073,-8.127,101.044,24,11
"444",0,0,5,4,262.896,2008,262.89587,-4.656,113.361,12,9
"445",0.147,1,4,7,159.73,1980,173.92281,-20.055,41.945,1,14
"446",0.196,1,4,9,266.095,2002,269.81832,-11.136,150.567,14,11
"447",0,1,4,7,332.632,1992,351.34649,-12.492,101.849,15,11
"448",2.415,1,4,4,212.822,2007,220.36853,-4.58,120.008,14,9
"449",0.659,1,4,4,182.596,0,197.11955,-8.736,101.967,18,9
"450",0,0,1,7,224.862,2003,224.86159,-5.559,97.073,23,7
"451",0.247,1,3,1,158.163,1998,166.24281,-10.915,139.981,18,2
"452",0.061,0,3,9,179.682,2004,193.43628,-5.325,184.023,8,14
"453",0.128,1,4,3,233.929,2004,262.89587,-16.764,108.504,2,4
"454",0.32,1,3,2,373.441,1992,380.86485,-19.164,116.805,1,14
"455",0.23,1,1,8,204.376,1991,217.93914,-14.241,101.799,6,12
"456",0,0,4,3,214.639,2009,218.46159,-3.936,145.1,19,9
"457",0,1,4,4,237.946,2003,240.40444,-4.008,191.144,20,14
"458",0.322,1,7,7,149.537,2001,161.85424,-4.665,130.862,11,3
"459",0,1,4,6,253.376,2007,287.50322,-6.748,85.964,11,11
"460",0,1,1,10,191.269,2007,201.79546,-28.197,106.798,5,1
"461",0.328,1,4,3,152.685,2000,152.68526,-4.048,162.727,14,10
"462",0.119,0,4,7,205.247,0,210.85995,-6.676,112.795,13,14
"463",0,1,4,10,91.696,2004,103.52281,-7.403,107.002,14,14
"464",0.202,1,3,0,239.409,1993,246.93506,-11.253,115.938,23,14
"465",0.073,1,4,2,131.628,1966,138.70975,-10.222,181.41,8,14
"466",0,1,4,7,192.575,2008,197.25016,-5.071,77.399,23,7
"467",0,1,4,9,174.022,2004,182.282,-4.8,150.276,5,14
"468",2.432,1,4,2,215.522,0,224.91383,-7.055,165.754,8,12
"469",3.448,0,4,6,180.297,2007,184.24118,-3.337,160.126,8,14
"470",0,0,4,10,293.03,2009,305.55383,-6.628,116.795,18,3
"471",0,1,4,2,480.885,2009,488.41098,-5.461,124.037,15,7
"472",0.206,0,4,2,227.817,2004,232.64608,-7.111,145.858,8,14
"473",0.195,1,1,2,129.968,1981,133.27628,-9.742,83.953,23,10
"474",0.363,0,1,7,160.073,1989,181.39383,-11.199,122.838,21,11
"475",0.085,0,4,2,274.321,2000,283.19302,-8.342,97.147,1,14
"476",0,1,4,0,275.121,1998,275.12118,-7.852,130.002,14,3
"477",0.256,1,4,2,194.096,2003,210.33751,-5.849,96.071,5,2
"478",0.09,1,4,4,271.139,1989,292.85832,-7.866,164.171,8,7
"479",0.073,1,3,10,215.708,2005,234.73587,-10.807,106.525,23,14
"480",0.136,0,1,1,242.231,1996,250.69669,-10.504,104.494,24,14
"481",0.305,0,4,6,241.458,2004,251.03628,-5.403,119.346,9,14
"482",0,0,5,6,401.125,1998,409.99138,-7.936,87.054,2,6
"483",0.258,1,4,9,288.897,1980,308.50567,-5.49,120.223,21,10
"484",0.125,1,5,1,225.605,2002,229.40689,-5.117,118.817,23,14
"485",0,1,4,10,272.225,1987,283.61098,-11.691,116.673,11,15
"486",0,0,4,11,162.093,2007,171.93751,-3.324,119.406,9,14
"487",0,1,1,2,240.457,0,240.45669,-8.471,91.413,21,14
"488",0.348,1,3,7,203.552,0,210.96444,-13.765,101.421,8,13
"489",0,1,4,8,204.841,2007,210.85995,-3.362,168.979,14,12
"490",0.136,0,4,0,337.711,2009,377.75628,-6.317,71.758,23,14
"491",0.178,1,4,0,219.208,1993,227.082,-10.252,129.542,14,13
"492",2.902,1,4,7,221.855,1998,230.05995,-7.837,91.973,10,14
"493",0.165,0,4,11,190.758,1999,195.83955,-12.359,142.869,2,6
"494",3.024,1,4,7,216.973,1980,233.45587,-13.425,108.565,16,14
"495",0.288,1,4,7,175.502,0,193.54077,-10.691,143.804,8,2
"496",0.311,0,4,2,271.813,2003,277.81179,-8.704,93.001,10,3
"497",0.287,1,4,0,236.443,1992,250.33098,-9.352,132.335,12,2
"498",0,1,4,7,150.419,2002,167.44444,-2.885,189.995,21,10
"499",6.316,1,4,8,339.22,2009,341.2371,-2.735,129.829,23,7
"500",0.235,0,4,9,166.481,2004,170.50077,-9.122,138.935,11,3
"501",0,0,5,1,207.986,1999,207.98649,-7.804,103.596,20,11
"502",0.316,0,4,2,283.655,1980,299.78077,-11.514,141.674,9,14
"503",0.163,1,5,7,176.93,2002,188.18567,-10.096,105.361,21,14
"504",0.218,1,3,3,13.583,1999,13.58322,-24.997,120.765,8,11
"505",0.078,0,4,11,226.151,2007,236.35546,-5.628,102.99,4,14
"506",0.131,1,4,2,233.674,2006,238.05342,-3.492,91.873,1,14
"507",2.119,1,1,2,155.318,1990,157.6224,-9.609,126.689,22,14
"508",0,1,4,7,254.938,0,263.36608,-6.578,193.14,8,14
"509",0.136,1,1,5,146.228,1970,149.96853,-2.969,173.34,21,14
"510",0,0,4,11,203.79,2009,210.59873,-4.289,84.99,12,14
"511",0.461,0,4,9,272.692,2003,272.69179,-5.028,121.949,23,7
"512",0.2,1,4,9,150.419,2005,165.61587,-5.094,134.289,16,14
"513",2.322,1,4,4,249.446,2004,263.49669,-8.163,141.171,3,2
"514",0.117,1,4,5,342.152,2006,351.84281,-12.749,109.74,14,2
"515",8.208,1,4,2,260.151,1986,268.40771,-2.339,145.882,23,7
"516",5.492,0,4,10,216.99,2004,228.85832,-6.642,130.006,1,3
"517",0.194,1,4,11,146.727,2007,158.51057,-6.172,124.409,16,14
"518",0,1,1,7,282.61,1977,294.24281,-8.782,137.865,4,2
"519",0.16,0,4,7,167.155,0,175.72526,-6.612,117.532,8,2
"520",0.193,0,4,5,299.259,1982,316.39465,-11.763,121.044,8,14
"521",2.572,1,4,2,155.429,1985,159.65995,-5.612,150.871,10,10
"522",0.228,1,4,8,112.205,2008,119.7971,-5.261,150.006,8,14
"523",0,1,4,7,303.531,1998,311.30077,-6.791,94.904,21,11
"524",0,1,3,3,208.922,2007,213.13261,-14.254,100.567,21,11
"525",0.073,1,4,0,203.395,2004,206.94159,-3.568,112.77,4,7
"526",0.206,1,1,2,223.893,2004,232.48934,-11.199,85.006,14,14
"527",0.444,1,4,2,247.188,1995,252.83873,-6.575,87.495,8,14
"528",0,1,4,2,202.739,2005,213.34159,-5.972,189.068,1,14
"529",0.121,0,3,6,264.104,2008,269.63546,-8.425,151.945,8,9
"530",0,1,4,2,276.457,1998,289.25342,-6.407,156.688,20,11
"531",0.345,1,3,5,178.875,1953,183.06567,-13.164,96.731,14,1
"532",0.078,1,4,5,248.842,1999,264.64608,-7.101,93.976,20,11
"533",0.571,0,4,11,203.976,2008,217.28608,-4.35,94.007,8,2
"534",2.287,1,5,5,233.117,1988,247.11791,-8.016,130.272,0,9
"535",0,0,5,11,224.438,2005,233.92608,-4.148,99.742,20,11
"536",0,0,4,6,245.476,1997,258.19383,-6.062,90.902,21,11
"537",0.242,1,1,9,85.931,2001,88.73751,-4.404,134.492,12,10
"538",0.142,1,1,0,248.053,1994,251.76771,-6.131,138.408,4,5
"539",0.165,1,3,11,167.706,2000,175.01995,-11.727,158.763,1,2
"540",0.259,0,4,11,252.395,2008,264.82893,-6.892,142.449,12,14
"541",0.155,1,4,2,233.523,2004,242.65098,-7.811,95.465,8,9
"542",0.092,1,1,9,217.536,1983,219.76771,-24.308,92.938,17,14
"543",0.386,1,4,1,113.505,1996,118.9873,-10.817,95.381,20,11
"544",0,1,4,10,186.59,0,191.73832,-11.761,95.572,15,9
"545",2.728,0,4,8,232.885,2006,245.10649,-4.654,189.917,12,14
"546",0,1,4,1,109.389,2003,115.53914,-3.116,189.134,23,10
"547",0,0,4,6,343.133,2004,360.75057,-3.134,105.54,13,7
"548",0.699,1,4,4,203.14,1994,211.35628,-4.659,161.994,18,14
"549",0.984,1,7,7,208.672,2008,219.24526,-11.451,96.047,16,3
"550",0.27,1,4,7,206.396,1988,216.39791,-10.81,133.319,8,14
"551",0,1,4,6,450.694,0,479.45098,-10.258,86.155,12,14
"552",2.583,0,4,2,371.032,2008,389.95546,-4.757,85.061,1,7
"553",0.223,0,4,10,221.414,2001,236.53832,-5.832,130,1,14
"554",0.371,1,4,6,175.955,1995,184.39791,-16.358,88.794,14,14
"555",0.369,1,1,4,99.84,1987,109.71383,-12.808,108.974,4,2
"556",0,1,7,6,244.453,2005,244.45342,-12.518,74.078,11,13
"557",0,1,7,7,192.737,2002,196.93669,-10.187,120.083,17,13
"558",0,1,4,4,192.13,1981,192.13016,-7.167,162.907,17,14
"559",0,1,3,8,208.44,2005,212.11383,-4.829,89.89,12,14
"560",0.362,0,4,5,237.111,0,242.07628,-7.097,146.313,9,12
"561",4.661,1,4,7,172.089,2006,182.80444,-6.825,111.266,11,1
"562",2.682,1,4,5,244.535,2001,247.77098,-3.756,132.731,9,9
"563",0,1,4,7,184.726,2000,195.00363,-11.41,66.49,2,6
"564",0.136,1,5,4,318.996,2006,328.72444,-5.711,113.471,16,14
"565",0,1,4,6,185.234,1988,185.23383,-4.92,124.993,22,11
"566",2.113,1,3,8,208.155,0,213.41995,-6.04,88.772,2,6
"567",3.338,1,4,5,293.645,2005,313.10322,-12.584,110.742,8,14
"568",0.462,0,4,11,239.009,1988,259.60444,-14.109,124.67,18,14
"569",0.191,0,4,11,300.391,1982,311.19628,-9.507,88.73,23,14
"570",0.316,0,3,9,51.304,2002,56.13669,-15.339,112.991,20,11
"571",0.607,1,1,2,187.548,1999,201.16853,-7.279,153.447,22,2
"572",0,0,4,0,224.096,0,234.1873,-4.619,151.956,18,14
"573",0.38,1,3,0,203.378,0,207.93424,-5.628,87.029,21,2
"574",0.241,1,4,8,249.498,0,262.50404,-6.808,120.196,8,14
"575",0,1,4,0,296.124,1976,296.12363,-9.045,130.049,21,14
"576",0.328,0,4,7,198.583,1994,220.31628,-10.291,144.447,8,14
"577",0.21,0,4,9,227.997,1990,235.31057,-8.025,151.211,15,9
"578",0.183,1,4,2,251.606,2002,270.47138,-2.512,157.739,12,14
"579",0.235,0,5,9,255.286,1995,264.88118,-5.225,87.643,1,7
"580",0.177,1,1,11,155.905,1961,168.95955,-5.176,91.01,21,2
"581",0,0,4,5,253.608,2000,260.04853,-8.209,132.131,9,14
"582",4.133,1,3,5,294.272,0,301.13914,-13.651,167.489,12,14
"583",0,1,1,0,146.187,1983,160.62649,-15.6,136.273,13,1
"584",2.119,0,3,7,311.693,1969,315.92444,-10.381,103.377,9,1
"585",0.148,0,4,0,180.849,2005,192.10404,-11.551,99.985,18,9
"586",2.188,1,4,10,254.729,1984,263.6273,-15.182,137.486,2,6
"587",0,1,4,8,200.911,2007,208.56118,-5.05,210.032,23,14
"588",30.575,1,3,5,247.403,1999,257.85424,-3.115,151.401,16,10
"589",0,1,4,2,298.446,0,303.22893,-6.272,85.03,21,3
"590",0.271,1,1,9,269.276,1971,279.84934,-8.026,182.085,18,14
"591",0.17,1,4,4,310.34,1999,313.75628,-5.646,145.109,23,14
"592",0,1,4,1,272.033,0,280.89424,-6.305,168.099,8,14
"593",0,1,1,9,49.911,2003,52.11383,-4.271,80.992,12,14
"594",0.096,0,4,11,205.139,2006,205.13914,-3.094,126.892,15,11
"595",0,1,4,0,272.167,1997,280.97261,-4.167,131.191,23,7
"596",0.101,1,4,10,183.275,0,183.27465,-3.177,163.604,8,14
"597",0.148,1,4,1,215.04,1996,226.92526,-9.67,165.038,8,14
"598",4.505,1,4,8,257.747,2001,260.93669,-6.121,122.761,8,14
"599",0,1,4,1,213.603,2005,213.60281,-10.606,130.298,20,11
"600",0,0,3,9,261.637,2004,277.89016,-7.319,125.05,4,14
"601",0.325,1,3,2,265.903,1996,277.39383,-14.15,109.889,8,4
"602",0.253,1,4,0,205.798,1998,214.12526,-10.65,139.95,2,9
"603",0,1,4,2,303.659,1999,321.48853,-4.146,156.261,23,7
"604",0.218,1,4,5,190.902,2006,190.9024,-4.531,91.145,22,14
"605",3.257,1,4,0,311.136,1995,316.76036,-8.724,145.99,12,9
"606",0,1,4,9,276.764,2003,280.00608,-5.342,117.574,12,14
"607",2.206,1,4,9,156.415,1974,162.29832,-10.06,170.995,14,2
"608",0.177,1,4,0,204.074,0,211.12118,-5.646,126.725,8,14
"609",2.241,1,1,2,218.552,1999,227.39546,-8.811,121.832,0,14
"610",0.086,1,5,2,116.686,1982,130.63791,-13.143,87.657,23,10
"611",0.409,1,4,0,219.208,1998,229.0673,-6.947,101.43,2,6
"612",0,0,4,6,163.813,2002,163.81342,-4.563,227.25,12,7
"613",0,1,4,2,293.21,0,315.16689,-13.097,100.075,14,14
"614",4.812,1,4,11,265.346,1996,274.78159,-9.061,96.02,19,14
"615",0,1,1,9,187.663,2001,187.66322,-5.794,155.411,23,14
"616",2.107,1,4,2,124.72,2005,128.41751,-7.766,154.873,18,14
"617",0,0,4,9,124.395,1999,124.39465,-4.861,97.546,2,14
"618",4.307,1,3,5,150.013,1969,152.76363,-9.774,126.968,0,9
"619",0.183,1,4,8,196.737,2004,210.07628,-5.061,141.63,16,14
"620",0.083,1,4,0,272.341,1989,290.11546,-12.798,167.772,1,4
"621",1.232,1,1,2,192.18,1997,204.93016,-6.971,92.957,17,10
"622",0,0,3,2,361.247,1994,361.24689,-8.294,167.504,8,7
"623",0.154,1,4,0,162.36,1976,175.20281,-12.551,119.053,8,2
"624",0.413,0,4,6,289.808,2010,292.91057,-9.11,89.949,23,1
"625",3.855,1,4,5,174.225,0,188.89098,-6.969,131.953,5,13
"626",0,0,4,1,223.086,0,229.69424,-6.525,157.103,7,9
"627",0.183,1,4,4,245.499,1997,261.35465,-6.653,168.242,8,12
"628",0,0,5,1,226.975,2001,231.60118,-10.067,106.961,20,11
"629",0.264,0,4,8,216.549,1999,226.37669,-15.448,69.347,10,1
"630",2.119,1,1,1,52.547,0,57.44281,-21.488,92.502,18,14
"631",0,0,4,3,176.721,2006,181.57669,-3.696,209.141,12,14
"632",0.281,1,7,7,279.998,0,293.27628,-8.756,89.92,0,15
"633",2.339,0,4,9,478.215,1999,486.97424,-7.655,86.308,8,14
"634",1.071,0,4,10,211.348,1999,230.05995,-4.134,150.226,12,14
"635",0.27,1,5,3,464.242,2002,472.39791,-6.736,121.518,16,14
"636",0.38,1,7,7,215.203,2005,231.18322,-4.547,151.488,15,11
"637",0,1,4,9,242.985,2007,247.24853,-5.603,169.994,8,9
"638",0,1,1,7,243.635,2009,250.8273,-4.535,99.995,3,14
"639",0,1,7,2,227.915,2009,241.162,-5.056,174.424,23,14
"640",0,1,4,1,263.053,0,263.05261,-6.502,129.997,4,9
"641",0,1,4,7,341.188,1993,356.25751,-11.893,94.557,14,1
"642",0.196,1,4,11,83.069,1997,85.9424,-5.542,212.293,23,14
"643",0.078,1,1,9,225.216,0,241.08363,-8.021,99.761,14,14
"644",0.107,0,4,5,136.615,1981,154.93179,-15.433,100.042,8,9
"645",0.45,1,4,5,183.664,1973,199.96689,-20.172,110.1,1,14
"646",0.067,1,4,1,271.157,1985,281.05098,-9.882,121.616,8,1
"647",0.103,0,4,4,231.253,2009,240.79628,-5.353,136.147,3,14
"648",0,1,3,5,300.141,1975,316.81261,-12.936,90.689,13,14
"649",0,0,4,11,276.376,1989,288.02567,-5.729,146.29,8,14
"650",3.785,1,4,8,340.776,0,355.5522,-7.894,146.022,10,14
"651",0.188,1,4,11,81.995,1982,89.23383,-8.867,203.29,21,10
"652",0.316,1,4,1,147.435,1977,150.59546,-8.812,159.849,11,14
"653",0.258,0,4,7,213.821,0,232.64608,-6.349,142.409,14,2
"654",0.072,1,4,9,249.574,2002,264.41098,-5.011,142.069,16,14
"655",0,1,3,2,136.678,1959,140.38159,-13.338,117.867,14,2
"656",0.531,1,4,2,231.758,1998,231.75791,-7.174,123.861,2,6
"657",0,0,4,4,373.847,2006,384.67873,-14.199,169.038,21,14
"658",0.066,1,5,7,217.757,0,221.09995,-5.781,102.581,8,12
"659",0,1,4,0,235.258,1998,235.25832,-9.407,117.946,18,14
"660",0,0,4,4,85.664,2007,92.76036,-6.769,163.086,13,7
"661",0,1,5,1,461.41,2009,465.47546,-6.278,131.999,3,9
"662",0.321,0,4,7,184.866,1997,190.06649,-14.023,129.584,9,1
"663",0.328,1,4,1,303.827,1986,311.27465,-4.857,139.95,17,14
"664",0.165,1,3,9,282.517,2005,286.58893,-4.627,97.265,20,7
"665",0.113,0,4,0,280.88,2004,283.48036,-4.076,84.992,5,7
"666",3.245,1,4,4,200.969,2000,208.95302,-6.052,105.095,12,14
"667",0.14,1,4,1,267.952,2006,274.85995,-6.696,177.942,13,11
"668",0,0,4,9,284.729,1968,291.29098,-12.065,115.514,8,14
"669",0,1,1,8,166.934,2002,169.63873,-5.176,114.179,12,14
"670",0,1,1,4,248.9,1975,257.61914,-13.776,136.842,21,14
"671",0.218,1,4,9,110.748,1966,121.73016,-7.124,116.664,23,14
"672",0.229,1,4,2,274.872,2001,285.46567,-5.067,108.039,12,7
"673",0,1,1,8,446.74,1989,449.74975,-8.239,146.77,9,1
"674",0.096,0,4,10,155.597,2009,171.59791,-5.829,152.273,12,10
"675",5.822,1,4,11,185.4,0,197.09342,-6.45,89.966,20,13
"676",0,0,3,9,199.082,1994,212.16608,-10.562,141.165,8,14
"677",0.197,1,4,7,226.783,2009,240.22159,-9.736,119.959,12,13
"678",4.081,0,3,11,228.299,1999,240.01261,-8.325,126.8,0,3
"679",0.27,1,7,2,142.362,2009,151.58812,-10.338,94.921,8,13
"680",0.107,1,4,7,199.843,0,207.12444,-10.006,86.535,19,12
"681",0,0,4,4,203.413,2006,212.89751,-5.038,151.949,13,14
"682",0,0,4,2,201.607,2006,205.06077,-2.912,119.501,14,14
"683",0,1,4,9,245.557,2006,251.66322,-4.576,125.987,2,14
"684",0.599,1,4,0,83.121,2006,83.12118,-1.674,168.231,2,10
"685",1.035,0,1,11,298.806,1992,307.61751,-8.252,146.581,3,12
"686",2.397,1,4,4,212.294,0,222.79791,-15.646,106.895,12,14
"687",0.874,1,4,2,226.853,2001,246.20363,-4.821,99.831,8,9
"688",0.195,1,4,7,221.246,2006,236.45995,-6.288,98.937,12,9
"689",0.243,1,5,0,266.739,2006,276.68853,-5.098,84.595,8,14
"690",0.633,0,4,10,220.786,2004,220.78649,-7.209,109.23,2,6
"691",0,1,4,0,278.251,2008,283.16689,-13.852,140.666,12,14
"692",0.345,0,4,11,275.156,2005,285.04771,-5.367,122.94,1,14
"693",0.16,1,4,2,234.365,2000,249.62567,-4.673,152.999,14,14
"694",0.403,0,4,10,129.387,1998,134.05995,-6.376,124.794,22,4
"695",0.351,1,1,9,200.371,1992,211.33016,-9.944,205.559,21,14
"696",0,1,4,7,109.009,1999,109.00853,-3.904,196.327,14,10
"697",0.705,1,4,2,231.253,1992,234.60526,-8.339,69.965,12,14
"698",0.215,1,4,4,211.325,2010,214.72608,-4.38,92.105,8,9
"699",0.311,1,4,1,522.466,2005,527.98649,-8.361,134.02,22,14
"700",0.334,1,1,4,58.903,1980,63.52934,-8.562,162.384,3,10
"701",0,0,4,1,301.97,2008,312.842,-5.968,130.35,12,14
"702",0,1,1,2,148.468,2006,153.25995,-2.648,143.224,3,14
"703",0.264,0,7,4,257.55,2008,272.14322,-13.959,124.981,21,14
"704",0.398,1,4,4,183.298,1970,188.02893,-12.169,98.824,22,2
"705",0,0,3,11,531.429,1995,540.42077,-6.676,183.662,17,14
"706",0,1,1,11,149.966,1987,156.682,-13.229,129.282,14,14
"707",0,1,4,8,218.674,2009,228.44036,-10.571,122.852,12,14
"708",0,0,0,2,749.639,2009,759.09179,-7.192,0,23,14
"709",0.334,1,4,8,245.104,2007,255.76444,-9.81,142.196,1,9
"710",0.276,1,3,9,202.211,0,222.53669,-11.284,135.776,13,14
"711",0,0,4,8,205.061,1997,205.06077,-6.203,91.699,2,6
"712",0.2,1,4,2,251.669,1999,255.39873,-5.635,152.001,2,9
"713",0,1,4,3,179.989,2009,187.24526,-8.295,132.61,8,9
"714",0,1,3,0,118.457,1989,125.1522,-12.818,126.714,8,2
"715",0,1,4,9,203.198,1968,214.96118,-10.736,170.897,21,2
"716",0,1,4,7,317.748,2004,322.55955,-4.516,150.05,8,7
"717",4.667,1,4,9,172.455,1980,181.15873,-14.343,100.422,22,14
"718",3.785,1,4,6,215.348,2003,225.61914,-8.843,125.986,1,14
"719",0,0,4,11,171.021,2007,181.13261,-6.391,102.066,7,14
"720",1.199,1,4,5,244.976,2001,263.20934,-8.147,83.49,20,13
"721",0,1,4,6,266.217,2002,270.62812,-17.864,165.76,18,2
"722",0.548,0,4,2,223.359,0,235.04934,-10.562,117.507,14,4
"723",0,1,4,7,187.548,0,190.69342,-6.371,89.689,0,9
"724",0.241,1,4,9,142.211,0,146.88608,-12.495,93.618,14,2
"725",0.827,0,3,4,294.522,2006,306.18077,-4.118,87.785,5,14
"726",0.142,0,4,10,229.535,2005,242.33751,-5.808,119.981,8,10
"727",0.461,1,1,8,204.98,1973,217.96526,-8.486,100.648,16,9
"728",0.148,0,4,5,142.089,2006,151.82322,-4.031,157.751,11,14
"729",0,0,4,5,382.154,2001,395.83302,-5.538,134.115,8,14
"730",2.775,0,4,9,230.197,0,245.34159,-9.044,104,2,6
"731",3.698,1,4,0,221.373,2005,246.09914,-9.695,119.06,14,2
"732",0.299,1,4,1,198.153,2008,200.25424,-4.825,140.119,20,11
"733",0.06,0,4,8,263.413,2010,281.23383,-6.991,120.085,23,14
"734",0.096,1,4,8,206.692,2004,212.71465,-4.336,109.984,10,9
"735",0.154,0,4,6,202.838,1981,205.50485,-16.619,94.48,8,14
"736",0.383,1,4,2,191.826,1996,209.08363,-7.56,116.625,4,2
"737",0.525,1,4,0,315.588,1988,322.97751,-13.865,139.015,14,14
"738",0,1,4,9,234.371,2005,249.28608,-10.414,139.999,8,14
"739",0,1,1,3,1.044,2005,1.04444,-23.555,0,8,9
"740",2.577,0,4,4,193.44,2007,205.45261,-6.692,143.864,17,9
"741",2.937,1,4,0,391.488,2006,399.82975,-7.715,140.077,17,14
"742",0,1,4,6,238.748,2003,246.33424,-5.268,96.708,21,11
"743",0,1,4,9,249.667,2009,252.21179,-3.708,164.963,23,14
"744",0.898,1,4,0,189.068,1984,191.99955,-11.516,183.709,5,14
"745",0,1,4,2,273.862,2007,278.93506,-5.73,180.06,13,7
"746",1.309,1,4,11,181.737,1995,186.40934,-12.967,52.932,9,1
"747",0.382,1,4,2,267.384,1992,283.03628,-7.535,94.543,10,1
"748",0.102,0,4,4,153.652,1978,159.89506,-11.704,88.841,21,14
"749",0,1,4,3,286.418,2006,292.41424,-5.377,110.044,23,14
