TRAJCLY128F930F893,Bad Azz,Ghetto,Rap,20|0.384677143323,8|0.19873696588,21|0.138252547043,18|0.10265127974,12|0.0925630095158,23|0.0499894598855,1|0.0181547247724,3|0.00728817397943,0|0.00354948619062,14|0.000783068536839,16|0.000439181591263,9|0.000346953102234,5|0.000327347129422,4|0.00031313118424,17|0.000308918316568,10|0.000251351627078,22|0.000223525442713,24|0.000221242540393,6|0.000213244898053,11|0.000201951530114,7|0.000197697066646,19|0.000134208467096,13|8.97513619413e-05,2|7.00210311997e-05,15|1.56158445271e-05
TRAPAZE128F4233355,Anti-Flag,Death Of A Nation,Punk,23|0.597391829597,21|0.218020722165,8|0.0883956683723,14|0.0697230765397,12|0.00407324770137,1|0.00244165377469,16|0.00205652754146,18|0.00177075659869,9|0.00162465509606,5|0.00153284746143,4|0.00146627936437,17|0.00144655203843,20|0.00127019388361,10|0.00117698818429,3|0.00109974024514,22|0.00104668829091,24|0.00103599829026,6|0.000998548242107,11|0.000945665510534,7|0.000925743406623,19|0.000628449403096,13|0.000420272960861,2|0.000327883003314,0|0.000106889012586,15|7.31233161678e-05
TRAQDSN128F42934A2,Sugarbomb,Posterchild for Tragedy,Rock,8|0.324958941362,16|0.270752762076,12|0.188846563625,1|0.120022147362,19|0.0342217147519,14|0.0205197523219,13|0.0172186863294,21|0.00339395241573,23|0.00293401777088,18|0.00180049000387,9|0.00165193525883,5|0.00155858604948,4|0.00149090018378,17|0.00147084160928,20|0.00129152216183,10|0.00119675141239,3|0.00111820637556,22|0.00106426360705,24|0.00105339410679,6|0.00101531522154,11|0.000961544517171,7|0.000941287894113,2|0.000333388603685,0|0.000108683824093,15|7.43511558319e-05
TRAXCZO12903CB819D,The Del McCoury Band,She Can't Burn Me Now,Country,17|0.258881168778,1|0.161169846855,5|0.160081272725,3|0.139781841822,7|0.119792775019,12|0.103782223938,14|0.0241727990871,8|0.00697764686773,21|0.00399816374827,23|0.00345634883799,16|0.00246332210296,18|0.00212102380376,9|0.00194602247094,4|0.00175631898652,20|0.00152144651869,10|0.00140980412411,22|0.00125373006192,24|0.00124092550942,6|0.00119606759747,11|0.00113272431667,19|0.00075276079412,13|0.000503405693769,2|0.000392740400001,0|0.000128032356464,15|8.75875850561e-05
TRBAUVN128F932FEF8,Britney Spears,Oops!...I Did It Again,Pop,9|0.451720044326,14|0.210526928647,8|0.0965028496949,12|0.0606167939495,11|0.0584287028737,7|0.0468613441839,1|0.03636847087,4|0.0241326671842,21|0.00233523486883,23|0.00201877332533,16|0.0014387694027,18|0.00123884089197,5|0.00107239702948,17|0.00101202379757,20|0.000888641682834,10|0.00082343394521,3|0.000769390433013,22|0.000732274699345,24|0.000724795856713,6|0.000698595389022,19|0.000439670149847,13|0.000294027609491,2|0.00022939057383,0|7.47807348519e-05,15|5.11578803615e-05
TRBEAWP128F422B4D1,Casiotone For The Painfully Alone,Happy Mother's Day,Electronic|Rock,8|0.344129880576,23|0.20410453392,3|0.19715220531,12|0.0801476912714,17|0.0699218003263,14|0.0142751794582,21|0.0129946714414,1|0.00950551126955,16|0.00800619069094,18|0.00689366648906,9|0.00632488417676,5|0.00596747129757,4|0.005708317521,20|0.00494494444722,10|0.00458208881451,22|0.00407482315799,24|0.00403320631505,6|0.00388741092898,11|0.0036815351385,7|0.0036039771386,19|0.00244659293852,13|0.00163614899342,2|0.00127646909459,0|0.000416125629382,15|0.000284673655661
TRAGFOI128F428E060,Máire Brennan,Atlantic Shore,World|Folk,1|0.436724656444,8|0.176942567161,12|0.174389343006,23|0.100464181137,21|0.0529937216798,18|0.0266452133551,14|0.00534341249157,16|0.00299683653527,9|0.00236749844139,5|0.00223371347225,4|0.00213670835011,17|0.00210796107106,20|0.0018509664279,10|0.00171514415497,3|0.00160257603145,22|0.00152526705721,24|0.00150968925246,6|0.00145511586587,11|0.00137805348821,7|0.00134902237258,19|0.000915796211722,13|0.000612434960634,2|0.000477801412243,0|0.000155762026853,15|0.000106557593348
TRAJSNU128F92F2AC0,Chuck Wicks,If We Loved,Country,14|0.318697055811,17|0.170376475983,1|0.148471962361,23|0.103605564612,12|0.0931252269475,21|0.0700374171357,7|0.0570954691685,20|0.0234535462287,8|0.00398343731334,16|0.00140627483243,18|0.00121086170202,9|0.00111095598134,5|0.00104817696992,4|0.0010026570157,10|0.000804836710559,3|0.000752013769707,22|0.000715736293937,24|0.000708426360775,6|0.000682817629978,11|0.000646655870419,19|0.000429740210726,13|0.00028738700343,2|0.00022420979357,0|7.30918138625e-05,15|5.00024809382e-05
TRAKGAX128F4264182,Jose Luis Perales,El Amor,Latin|Reggae,2|0.972615088175,8|0.00381128190413,12|0.00266495316648,14|0.00239904799713,21|0.00218384928793,23|0.00188790290342,1|0.00159747047942,16|0.00134549872371,18|0.00115853091948,9|0.00106294290456,5|0.00100287706409,4|0.000959324382287,17|0.000946417629844,20|0.000831033971011,10|0.000770053436129,3|0.00071951338673,22|0.000684803743762,24|0.000677809729852,6|0.000653307752139,11|0.000618708824381,7|0.000605674636973,19|0.000411167782944,13|0.000274966768521,0|6.99329462477e-05,15|4.78414835659e-05
TRBFMAS128E078F352,The Cardigans,Marvel Hill,Rock,8|0.329254891249,5|0.322845474662,21|0.202249689565,12|0.0800566462254,14|0.0301333777531,23|0.00430862246471,1|0.00364578982419,16|0.00307073314879,18|0.00264403022883,9|0.00242587670636,4|0.00218939574539,17|0.00215993961,20|0.00189660793993,10|0.00175743653337,3|0.00164209268184,22|0.00156287740696,24|0.00154691548148,6|0.00149099641307,11|0.00141203381541,7|0.00138228684454,19|0.000938378103634,13|0.000627536508235,2|0.000489583138034,0|0.000159602839044,15|0.000109185112467
TRAMRFE128F4267DF3,Mando Diao,Annie's Angle,Rock,5|0.721355763913,16|0.0722903113738,21|0.0426375973919,1|0.0420869173554,4|0.0313409463852,14|0.0225463443121,18|0.0112346747377,17|0.0110354749161,3|0.010822384615,24|0.0107832198789,6|0.0107602095828,8|0.00357925086575,12|0.00250271068062,23|0.00177296727754,9|0.000998230885847,20|0.000780440580107,10|0.000723172543325,22|0.000643112856614,11|0.000581041799325,7|0.000568801133917,19|0.000386135867167,13|0.000258226777509,2|0.00020145995396,0|6.56754248827e-05,15|4.49288915854e-05
TRAPRQZ128F427E188,John Mayer,Comfortable,Rock,12|0.216546235082,21|0.198076807819,14|0.180746917815,3|0.177998267587,8|0.0769656690736,20|0.0544062559109,1|0.0379784967074,16|0.0375661311512,23|0.00308965633294,18|0.0018959991988,9|0.00173956418557,5|0.00164126315321,4|0.00156998680796,17|0.00154886420184,10|0.00126023455514,22|0.00112071877209,24|0.00110927268589,6|0.00106917385958,11|0.00101255082241,7|0.000991219662006,19|0.000672898559653,13|0.000449998152008,2|0.000351073610027,0|0.000114449090504,15|7.82952038524e-05
TRARFAZ128F93481AD,Korpiklaani,Isku Pitkästä Ilosta,Rock,3|0.453752716558,8|0.0774519608792,12|0.0541565419686,14|0.0487528806042,21|0.0443796638165,23|0.0383655120501,1|0.0324634136729,16|0.0273429038138,18|0.0235433887364,9|0.0216008719196,5|0.0203802282508,4|0.0194951610498,17|0.0192328731083,20|0.0168880739423,10|0.0156488420721,22|0.0139164181779,24|0.0137742874971,6|0.0132763641561,11|0.012573253007,7|0.0123083753625,19|0.00835565351512,13|0.00558780901919,2|0.0043594229793,0|0.00142116063655,15|0.000972223206458
TRAHIPA128F4279744,K's Choice,Another Year,Rock,3|0.757079206316,12|0.222981611535,8|0.00832183369559,14|0.0013659581029,21|0.00124342932444,23|0.00107492483331,1|0.00090955985379,16|0.000766093419678,18|0.00065963861449,9|0.000605213182534,5|0.000571013190874,4|0.000546215379958,17|0.000538866596982,20|0.000473170019042,10|0.000438449223192,22|0.000389910174288,24|0.000385927957181,6|0.000371977142094,11|0.000352277375445,7|0.000344856034178,19|0.000234108682041,13|0.000156559220965,2|0.000122142303567,0|3.98180756286e-05,15|2.72397476872e-05
TRAEPGH128F9343CD8,Los Fabulosos Cadillacs,El Mensaje Soy Yo,Reggae,2|0.963559550106,8|0.00507158205029,12|0.00354618970308,14|0.00319235602773,21|0.00290599623114,23|0.0025121874263,1|0.0021257159174,16|0.0017904231037,18|0.00154162949993,9|0.00141443280524,5|0.00133450462202,4|0.00127655010571,17|0.00125937539765,20|0.00110583711113,10|0.00102469176583,3|0.000957439325892,22|0.000911252030731,24|0.000901945263009,6|0.00086934106487,11|0.000823301095802,7|0.000805956813075,19|0.000547131175307,13|0.000365891729537,0|9.30581058643e-05,15|6.36615226622e-05
TRAQPHD128F4226E5E,Soulwax,Soul Simplicity,Rock,19|0.639626676002,23|0.11338639492,12|0.0430894116415,5|0.0415285228178,6|0.0412002353035,24|0.0310765703593,21|0.0223442469114,16|0.0215569351727,8|0.013725926106,14|0.0123996690719,1|0.0116468916347,18|0.00108799949751,9|0.000998230885847,4|0.000900920664544,17|0.000888799675854,20|0.000780440580107,10|0.000723172543325,3|0.000675709374733,22|0.000643112856614,11|0.000581041799325,7|0.000568801133917,13|0.000258226777509,2|0.00020145995396,0|6.56754248827e-05,15|4.49288915854e-05
TRAQQHJ128F9345DC3,Rise Against,1000 Good Intentions,Rock|Punk,23|0.473899749854,8|0.35197001555,21|0.0645789891825,12|0.0527177984941,5|0.0259802000913,20|0.0133687945134,14|0.00275642832661,1|0.00183544176093,16|0.00154593438726,18|0.0013311144452,9|0.00122128691681,4|0.00110223259597,17|0.0010874031561,10|0.000884766418549,3|0.000826697541245,22|0.000786817287412,24|0.000778781392306,6|0.000750629414728,11|0.000710876369079,7|0.00069590051056,19|0.000472418444838,13|0.000315927897455,2|0.00024647645101,0|8.0350686702e-05,15|5.49683126998e-05
TRADXMA128F4276D94,Dead Prez,Be Healthy,Rap,21|0.285973612108,20|0.261499567832,8|0.174144029188,6|0.101216351845,9|0.0599116788798,5|0.0480130944279,23|0.0247678646843,12|0.0192617475879,14|0.0191157371638,1|0.000877182428483,16|0.000738822941137,18|0.000636157586956,4|0.000526771857256,17|0.000519684667478,10|0.000422841831424,3|0.000395089930003,22|0.000376030617607,24|0.000372190154709,11|0.00033973742619,7|0.000332580260965,19|0.000225775160795,13|0.00015098621281,2|0.00011779442773,0|3.84006793306e-05,15|2.62700996839e-05
TRAYWLI128F9300223,Annie Lennox,Erased,Pop,21|0.266510860272,12|0.241930567287,4|0.139386165177,8|0.130134154292,17|0.114231135238,16|0.0644154020248,14|0.0153610836964,10|0.0134658949849,23|0.0021964052898,1|0.0018585132768,18|0.00134784656316,9|0.00123663850196,5|0.001166757297,20|0.000966833308338,3|0.000837089135164,22|0.000796707586259,24|0.000788570679895,6|0.00076006483176,11|0.000719812090048,7|0.000704647984882,19|0.000478356748018,13|0.000319899113353,2|0.000249574661735,0|8.13606954e-05,15|5.56592647778e-05
TRACBWQ128F92F2B91,Ma Rainey,Ma Rainey's Black Bottom,Blues,7|0.378207045355,16|0.222234388758,9|0.0930259429662,3|0.083521165152,4|0.0653016962966,8|0.049309365851,17|0.0468667581336,21|0.0202859022868,23|0.020033575875,14|0.011257415664,12|0.00227216180167,1|0.00136201695711,18|0.000987773344166,5|0.000855061539337,20|0.000708546652366,10|0.000656554128163,22|0.000583869513276,24|0.000577906357357,6|0.000557015762158,11|0.000527516421225,19|0.00035056515898,13|0.000234439012295,2|0.000182901529729,0|5.96254264956e-05,15|4.07900569739e-05
TRAWDLK128EF342E1E,Redman,Suicide,Rap,20|0.626221845976,21|0.123052651059,9|0.0641638533653,24|0.0586712978304,1|0.0538192176818,8|0.0442988807263,11|0.0162142248635,14|0.0064811123097,12|0.00130812757226,23|0.000926702154757,16|0.000660455876321,18|0.000568680252301,5|0.000492275494976,4|0.000470897084043,17|0.000464561633592,10|0.000377990932291,3|0.00035318267939,22|0.000336144991239,6|0.00032068476643,7|0.000297303420715,19|0.000201827154209,13|0.000134971081624,2|0.000105299954374,0|3.43275132735e-05,15|2.34836261054e-05
TRBAYER128F933D3B7,Mighty Mighty Bosstones,Guns And The Young,Rock|Reggae,20|0.314507070704,8|0.148296422568,23|0.145971054344,17|0.105645003507,7|0.0660452510287,12|0.0554723241074,1|0.0541817358668,22|0.0530783203539,21|0.0287654729871,14|0.0159630506748,16|0.00162671006432,18|0.00140066569617,9|0.00128509963641,5|0.00121247994121,4|0.0011598246807,10|0.000930995810353,3|0.000869892811473,24|0.00081947302499,6|0.00078985009556,11|0.000748019937711,19|0.000497102493559,13|0.000332435253801,2|0.000259354942084,0|8.45490415439e-05,15|5.78404285615e-05
TRBEBEZ128E0792F08,Patty Griffin,Let Him Fly,Folk|Pop,8|0.50128984192,21|0.191311248343,13|0.0858252340862,4|0.069828846902,17|0.0356522032927,23|0.0200622465181,16|0.0192048920309,20|0.0183917001699,6|0.018110776134,11|0.0180560871271,12|0.00421237453751,14|0.0037920699037,1|0.00252505149306,18|0.00183123899044,9|0.00168014720945,5|0.00158520377099,10|0.0012171896781,3|0.00113730323961,22|0.00108243922996,24|0.00107138409906,7|0.000957363322887,19|0.00064991487329,2|0.000339082254677,0|0.000110539939618,15|7.56209338852e-05
TRBBMIF12903CA1EB0,Atomic Rooster,Little Bit of Inner Air,Rock,14|0.395414073099,1|0.324831398998,21|0.142399340067,20|0.0476855035747,8|0.0310588491891,18|0.0254216776103,12|0.00566310156365,23|0.00401184756972,16|0.00285922320211,9|0.00225878401939,5|0.0021311423935,4|0.00203859170124,17|0.00201116448381,10|0.00163638553693,3|0.00152898648903,22|0.00145522750676,24|0.00144036502752,6|0.00138829762535,11|0.00131477391605,7|0.00128707589568,19|0.000873743277668,13|0.000584312233457,2|0.000455860994688,0|0.000148609507374,15|0.00010166451846
TRBGNNC128F148D427,EPMD,For My People,Rap,20|0.323028493474,7|0.215375699882,21|0.147648339773,9|0.0689223826715,1|0.0642755656842,12|0.0500925463294,24|0.0491934264711,10|0.0394578160642,14|0.0255288631584,17|0.0102055719689,8|0.00172448509881,23|0.000854216640708,16|0.000608795821949,18|0.00052419877548,5|0.00045377030523,4|0.000434064087566,3|0.000325557160299,22|0.000309852139366,6|0.000295601194516,11|0.000279946268731,19|0.000186040479983,13|0.000124413807981,2|9.70635201724e-05,0|3.16424569878e-05,15|2.16467654688e-05
TRATKAA128F426E8A0,Mary Black,Say A Little Prayer,Folk|Pop,14|0.705980713843,8|0.142689401794,1|0.0571688295981,17|0.0563383107481,3|0.0147006029611,12|0.00339956094254,21|0.00278583835433,23|0.00240831285687,16|0.00171639223042,18|0.00147788580833,9|0.00135594847517,5|0.00127932518295,4|0.00122376698483,20|0.00106011267489,10|0.000982322548126,22|0.000873573348261,24|0.000864651399155,6|0.000833395327755,11|0.000789259031126,7|0.000772631904245,19|0.00052450825527,13|0.000350762744546,2|0.000273653441556,0|8.92103154573e-05,15|6.10292297102e-05
TRBDEXM128F4291A7F,Baroness,Wanderlust,Metal,21|0.56610699127,6|0.188381818874,12|0.104231527637,18|0.0513688440359,8|0.0163655810053,14|0.0103014721346,23|0.00810662361723,1|0.00685951162683,16|0.00577754910533,9|0.00456425912489,5|0.00430633740655,4|0.00411932291642,17|0.00406390153644,20|0.00356844602756,10|0.00330659662663,3|0.00308957849644,22|0.00294053586776,24|0.00291050368854,11|0.00265672538499,7|0.0026007568014,19|0.00176554761043,13|0.00118070272343,2|0.000921145043896,0|0.000300290906194,15|0.000205430533454
TRBEISL128F931B107,Architecture In Helsinki,The Same Old Innocence,Rock,4|0.590742786447,23|0.189416116022,17|0.0587682765041,20|0.044237512941,22|0.029665702584,8|0.0194488073269,14|0.0175695813043,16|0.0161676483803,9|0.0157916580819,12|0.00354618970308,21|0.00290599623114,1|0.0021257159174,18|0.00154162949993,5|0.00133450462202,10|0.00102469176583,3|0.000957439325892,24|0.000901945263009,6|0.00086934106487,11|0.000823301095802,7|0.000805956813075,19|0.000547131175307,13|0.000365891729537,2|0.000285456573087,0|9.30581058643e-05,15|6.36615226622e-05
TRBBEYU128F4235623,Busdriver,Unemployed Black Astronaut,Rap,1|0.429881802079,21|0.178693984685,24|0.108537038452,11|0.0737069667061,8|0.0555115221894,5|0.0467708860721,20|0.0428417143171,9|0.0351894159545,3|0.0157281925036,6|0.00796917839925,12|0.000953970333905,14|0.00085878455489,23|0.000675810511722,16|0.000481646688157,18|0.00041471803032,4|0.000343408286796,17|0.000338788070917,10|0.000275655175794,22|0.000245138437821,7|0.000216812679089,19|0.000147185275944,13|9.84295496364e-05,2|7.67914649648e-05,0|2.50338193263e-05,15|1.71257628937e-05
TRAVANT128F92E3F71,Mariah Carey,Someday,RnB|Pop,22|0.741745269145,9|0.0831000395475,8|0.0625419152017,14|0.0540756414767,12|0.0243095851134,21|0.0164885929775,23|0.00879591667118,1|0.0011070615897,16|0.000932442868399,18|0.000802872477434,5|0.000695002938175,4|0.000664820533071,17|0.000655876036091,20|0.000575914109772,10|0.000533654043776,3|0.000498629329296,24|0.000469728315303,6|0.000452748221619,11|0.000428770849606,7|0.000419738039035,19|0.000284943017905,13|0.000190554474587,2|0.000148664271178,0|4.84641685983e-05,15|3.31545837826e-05
TRBFRFR128E0781C86,Less Than Jake,Automatic,Rock|Reggae,11|0.697063123711,5|0.159194439571,8|0.0752506446324,24|0.0238524839009,12|0.00553599638035,14|0.00498362267505,21|0.00453658319602,23|0.00392180386929,1|0.00331847887724,16|0.00279504951829,18|0.00240665504274,9|0.00220808686102,4|0.0019928366377,17|0.001966025009,20|0.00172633467384,10|0.00159965776836,3|0.00149466923271,22|0.00142256573001,6|0.00135713805278,7|0.00125818818887,19|0.000854132592919,13|0.00057119766846,2|0.000445629446722,0|0.000145274049152,15|9.93827145568e-05
TRBFWSP128F92F29B4,Warrant,Bed Of Roses,Rock,16|0.588021395679,12|0.146712040599,9|0.12843733322,8|0.105081101369,21|0.0102261119664,6|0.00902106672886,14|0.00188884868261,23|0.00148640749009,1|0.00125774057633,18|0.000912149154016,5|0.000789597800289,4|0.000755307354352,17|0.000745145447472,20|0.000654300132063,10|0.000606288169353,3|0.000566496341161,22|0.000539168307927,24|0.000533661692813,11|0.000487129623604,7|0.000476867383022,19|0.000323725797097,13|0.000216490299112,2|0.000168898539929,0|5.50604879722e-05,15|3.76671593547e-05
TRAPFIP128F42AC31E,Alicia Keys,If I Was Your Woman,RnB,11|0.475962908581,14|0.184782952357,8|0.130708167987,12|0.0593485556993,9|0.0572763829892,21|0.0307755137947,1|0.0300170428949,5|0.0152725753849,23|0.0024419699229,16|0.00174037944889,18|0.00149853981103,4|0.00124086958265,17|0.00122417492044,20|0.00107492814299,10|0.000996050870333,3|0.000930678186012,22|0.000885781860036,24|0.00087673522338,6|0.000845042336782,7|0.000783429721876,19|0.000531838452813,13|0.00035566478409,2|0.00027747784997,0|9.04570627269e-05,15|6.18821358468e-05
TRBGGYE128F42B63AB,Arc Angels,See What Tomorrow Brings,Blues,6|0.304053941127,12|0.251489098415,8|0.11512389763,14|0.113322374327,7|0.0972518964767,21|0.0716995987632,1|0.0158205733527,18|0.0152606378901,23|0.00240831285687,16|0.00171639223042,9|0.00135594847517,5|0.00127932518295,4|0.00122376698483,17|0.001207302421,20|0.00106011267489,10|0.000982322548126,3|0.000917850879306,22|0.000873573348261,24|0.000864651399155,11|0.000789259031126,19|0.00052450825527,13|0.000350762744546,2|0.000273653441556,0|8.92103154573e-05,15|6.10292297102e-05
TRADWAU128F145622F,The Moody Blues,Long Summer Days,Rock,8|0.410983052302,3|0.226379965773,21|0.183340481777,23|0.0927771740829,16|0.0469470017962,24|0.0159678925027,12|0.00370603730263,14|0.00333625426518,1|0.00222153441984,18|0.00161111979672,9|0.00147818959988,5|0.00139465858395,4|0.00133409171718,17|0.00131614284415,20|0.0011556836852,10|0.00107088064256,22|0.000952327512275,6|0.000908527373005,11|0.000860412112101,7|0.000842286020675,19|0.000571793591121,13|0.000382384618965,2|0.000298323777552,0|9.72527813009e-05,15|6.6531121424e-05
TRBFBUO128F42A3DED,Kent,Alla Mot Alla,Rock,13|0.918476362983,22|0.0191412502428,11|0.0190311352313,8|0.00634964615506,12|0.00443984728829,14|0.00399684575268,21|0.00363832185159,23|0.00314527125344,1|0.00266140698658,16|0.00224161870273,18|0.00193012786339,9|0.0017708769639,5|0.00167080647776,4|0.00159824713277,17|0.00157674431217,20|0.00138451360762,10|0.00128291922846,3|0.00119871883646,24|0.0011292399915,6|0.00108841937195,7|0.00100906197091,19|0.000685010974712,2|0.000357393060738,0|0.00011650921512,15|7.97045455617e-05
TRBGKGR128F92EE206,Zeca Baleiro,Telegrama,Latin|Rock,2|0.968846054165,10|0.0142302201623,8|0.00242349925239,12|0.00169457735456,14|0.00152549487908,21|0.00138865537889,23|0.00120047044278,1|0.00101579169685,16|0.000855569132125,18|0.000736680961381,9|0.00067589892307,5|0.000637704550906,4|0.000610010485119,17|0.000601803402651,20|0.000528433807341,3|0.000457520644938,22|0.000435449647332,24|0.000431002328055,6|0.000415422130588,11|0.000393421534026,7|0.000385133418838,19|0.000261451354068,13|0.000174844520742,0|4.44686190136e-05,15|3.04212080269e-05
TRBIBAQ128F93279F5,Bad Company,Crazy Circles,Rock,10|0.32749594303,9|0.144973676413,6|0.144478426872,18|0.118964046695,1|0.106432127422,8|0.0699208352354,23|0.0284076733447,7|0.0268574573623,14|0.0159630506748,12|0.00322193255218,21|0.0026402772095,16|0.00162671006432,5|0.00121247994121,4|0.0011598246807,17|0.00114422039678,20|0.00100472137254,3|0.000869892811473,22|0.000827928798762,24|0.00081947302499,11|0.000748019937711,19|0.000497102493559,13|0.000332435253801,2|0.000259354942084,0|8.45490415439e-05,15|5.78404285615e-05
TRAMCND128F1466ACF,Beastie Boys,Get It Together,Rap,24|0.521914659497,21|0.149329892188,20|0.143575949608,5|0.0720659679106,8|0.0478268384593,9|0.0311850744837,23|0.0264618565782,12|0.00126130228654,14|0.00113545137016,1|0.00075607076091,16|0.000636814424395,18|0.000548323969121,4|0.000454041013601,17|0.000447932344761,10|0.000364460498579,3|0.000340540273386,22|0.000324112460474,6|0.000309205644568,11|0.000292830232331,7|0.000286661249481,19|0.00019460261865,13|0.000130139703098,2|0.000101530673339,0|3.30987373872e-05,15|2.26430142833e-05
TRAFEEO12903CFEC87,Dark Fortress,The Silver Gate,Rock|Metal,23|0.487825100824,1|0.355011298937,19|0.0666787263633,12|0.0468961300551,21|0.0132751617081,24|0.0117358595206,8|0.00389545848285,14|0.00245203375301,16|0.00137521562267,18|0.00118411841776,9|0.00108641923072,5|0.00102502676654,4|0.000980512173275,17|0.000967320360243,20|0.000849388319558,10|0.000787060958876,3|0.000735404673903,22|0.000699928428236,6|0.000667736811129,11|0.000632373725946,7|0.000619051663401,13|0.000281039728333,2|0.000219257860385,0|7.14774964286e-05,15|4.88981181861e-05
TRAFYGA128F425A92C,Eurythmics,Missionary Man,Pop|Rock,21|0.721554300153,23|0.0855944304872,22|0.0770818736245,8|0.0639790607396,7|0.0234083011156,9|0.0160728346863,12|0.00188927512452,14|0.00170076598738,1|0.00113250066714,16|0.000953869396566,18|0.000821321618217,5|0.000710973353666,4|0.000680097389552,17|0.000670947357711,20|0.000589147992847,10|0.000545916836262,3|0.000510087291742,24|0.000480522163719,6|0.000463151885856,11|0.000438623539778,19|0.000291490700134,13|0.000194933210223,2|0.000152080415268,0|4.9577822752e-05,15|3.3916440243e-05
TRAZNDI128F9321777,KRS-One,Freestyle Ministry (server Verbals),Rap,24|0.329762969695,9|0.118368117055,8|0.0968429645433,18|0.0792385304771,21|0.0721427198611,20|0.0633213178961,23|0.0562484006021,4|0.0555746171758,11|0.0553274640137,10|0.0319179132125,14|0.0252601344959,3|0.00836187341164,12|0.00193370968061,1|0.0011591363666,16|0.000976303801516,5|0.000727694997302,17|0.000686727615235,22|0.00049689864921,6|0.000474044925299,7|0.00043948198548,19|0.000298346377053,13|0.000199517916046,2|0.000155657250455,0|5.07438617886e-05,15|3.47141334677e-05
TRATRMZ128F42A9AAC,Kane,Rain Down On Me,Rock,8|0.425707079855,18|0.304044905482,12|0.121681137964,14|0.121267890815,21|0.00339395241573,23|0.00293401777088,1|0.00248265245347,16|0.00209105942839,9|0.00165193525883,5|0.00155858604948,4|0.00149090018378,17|0.00147084160928,20|0.00129152216183,10|0.00119675141239,3|0.00111820637556,22|0.00106426360705,24|0.00105339410679,6|0.00101531522154,11|0.000961544517171,7|0.000941287894113,19|0.000639001921013,13|0.000427329913938,2|0.000333388603685,0|0.000108683824093,15|7.43511558319e-05
TRAQQVR128F4255A3A,Gorillaz,White Light,Rock,18|0.935128601773,10|0.0302135290324,8|0.00514556093908,12|0.00359791777749,14|0.00323892274975,21|0.00294838583854,23|0.0025488325663,1|0.00215672361872,16|0.00181653990717,9|0.00143506505888,5|0.00135397096764,4|0.00129517107198,17|0.0012777458374,20|0.00112196789633,3|0.000971405440749,22|0.00092454441405,24|0.000915101889018,6|0.000882022095232,11|0.000835310543664,7|0.000817713260838,19|0.000555112147708,13|0.000371228972098,2|0.000289620512439,0|9.4415539343e-05,15|6.45901497964e-05
TRACXGH128F931686C,Tommy James & The Shondells,Crimson And Clover,Rock,6|0.605929002979,14|0.242272129971,12|0.0578373960694,8|0.0163655810053,21|0.00937741246225,23|0.00810662361723,1|0.00685951162683,16|0.00577754910533,18|0.00497471246861,9|0.00456425912489,5|0.00430633740655,4|0.00411932291642,17|0.00406390153644,20|0.00356844602756,10|0.00330659662663,3|0.00308957849644,22|0.00294053586776,24|0.00291050368854,11|0.00265672538499,7|0.0026007568014,19|0.00176554761043,13|0.00118070272343,2|0.000921145043896,0|0.000300290906194,15|0.000205430533454
TRAROQC128F4273979,Shakira,Que Vuelvas,Latin,2|0.967737802317,23|0.0154725361716,8|0.00250971136621,12|0.00175485923649,14|0.00157976192208,21|0.0014380545753,1|0.00105192686352,16|0.000886004637038,18|0.00076288720957,9|0.000699942947359,5|0.00066038987143,4|0.0006317106335,17|0.000623211597185,20|0.000547231995747,10|0.000507076597809,3|0.000473796210891,22|0.000450940072808,24|0.000446334547253,6|0.000430200109154,11|0.000407416876521,7|0.000398833924876,19|0.000270752068262,13|0.000181064335215,0|4.60505190865e-05,15|3.15033938978e-05
TRAKPJC128F4258613,Juliette & The Licks,Shelter Your Needs,Rock,5|0.362815587485,21|0.288199490118,12|0.137654022502,6|0.113617207972,23|0.0541266913534,8|0.0252933877015,9|0.00828625590635,14|0.00167510459337,1|0.0011154133394,16|0.000939477282308,18|0.000808929403293,4|0.000669835985452,17|0.000660824010565,20|0.000580258845907,10|0.000537679967031,3|0.000502391023667,22|0.00047815545921,24|0.000473271978412,11|0.000432005526743,7|0.000422904572021,19|0.000287092647867,13|0.000191992030808,2|0.000149785804789,0|4.88297856599e-05,15|3.34047042706e-05
TRAAABD128F429CF47,The Box Tops,Soul Deep,Rock|RnB,8|0.462771376965,14|0.384727313075,9|0.0649024985981,24|0.0389886797985,12|0.0158699255295,23|0.0149543891126,21|0.00257305562749,1|0.00188217219454,16|0.00158529394952,18|0.00136500468162,5|0.00118161014484,4|0.00113029548974,17|0.00111508849163,20|0.000979141119105,10|0.000907292613206,3|0.000847745299553,22|0.00080684969258,6|0.000769740474954,11|0.000728975314893,7|0.000713618170311,19|0.000484446240677,13|0.000323971436593,2|0.000252751753052,0|8.2396418967e-05,15|5.63678085281e-05
TRAJMZL12903CA4807,Luke Bryan,What Country Is,Country,5|0.321310761935,20|0.152477750575,16|0.110704675099,10|0.110255429861,22|0.0764491051678,19|0.0593655944103,21|0.0523145690273,3|0.0511713744527,8|0.0282802635811,14|0.0103078590981,9|0.00926477322442,6|0.0089449745475,12|0.0020805062546,23|0.00147386972801,1|0.00124713160658,18|0.000904455228126,4|0.000748936380062,17|0.000738860188285,24|0.000529160286989,11|0.000483020713119,7|0.000472845033949,13|0.000214664215834,2|0.000167473890415,0|5.45960559086e-05,15|3.73494390221e-05
